Cycles,Time,CPU Frequency,GFLOPS, CPE
93149099.000000, 37319200.0000000000, 2496010069.883599, 0.899120, 2.7760594785
93322730.000000, 37388800.0000000000, 2496007627.952756, 0.897446, 2.7812340856
98235816.000000, 39357099.9999999925, 2496012561.901156, 0.852564, 2.9276554585
88448997.000000, 35436099.9999999925, 2496013867.214508, 0.946900, 2.6359855235
87602046.000000, 35096900.0000000000, 2496005231.231248, 0.956051, 2.6107444167
89234879.000000, 35751000.0000000000, 2496010712.987050, 0.938559, 2.6594066322
88978407.000000, 35648200.0000000000, 2496014020.343243, 0.941266, 2.6517631710
92303099.000000, 36980300.0000000000, 2496007306.592970, 0.907360, 2.7508467138
89106919.000000, 35699700.0000000000, 2496013103.751572, 0.939908, 2.6555931270
97577154.000000, 39093200.0000000075, 2496013475.489343, 0.858319, 2.9080258012
92696418.000000, 37137800.0000000000, 2496012634.027864, 0.903512, 2.7625685334
90142118.000000, 36114500.0000000075, 2496009026.845173, 0.929112, 2.6864444613
89887043.000000, 36012299.9999999925, 2496009502.308934, 0.931749, 2.6788426340
87423256.000000, 35025200.0000000000, 2496010186.951109, 0.958008, 2.6054160595
90132966.000000, 36110799.9999999925, 2496011331.789936, 0.929208, 2.6861717105
87717974.000000, 35143200.0000000000, 2496015559.197796, 0.954792, 2.6141993403
84897601.000000, 34013300.0000000075, 2496011883.586714, 0.986509, 2.5301456749
85956066.000000, 34437300.0000000000, 2496016412.436515, 0.974363, 2.5616903901
93869101.000000, 37607700.0000000000, 2496007493.146350, 0.892222, 2.7975172102
179527876.000000, 71926000.0000000000, 2496008063.843394, 0.466513, 5.3503476381
