Cycles,Time,CPU Frequency,GFLOPS, CPE
353665.000000, 141700.0000000000, 2495871559.633028, 0.924996, 2.6982498169
200023.000000, 80200.0000000000, 2494052369.077307, 1.634314, 1.5260543823
193059.000000, 77400.0000000000, 2494302325.581396, 1.693437, 1.4729232788
199495.000000, 79900.0000000000, 2496808510.638298, 1.640451, 1.5220260620
184342.000000, 73800.0000000000, 2497859078.590786, 1.776043, 1.4064178467
183591.000000, 73600.0000000000, 2494442934.782609, 1.780870, 1.4006881714
182146.000000, 73000.0000000000, 2495150684.931507, 1.795507, 1.3896636963
159593.000000, 63900.0000000000, 2497543035.993741, 2.051205, 1.2175979614
182026.000000, 72900.0000000000, 2496927297.668038, 1.797970, 1.3887481689
177821.000000, 71300.0000000000, 2493983169.705470, 1.838317, 1.3566665649
211563.000000, 84700.0000000000, 2497792207.792208, 1.547485, 1.6140975952
171520.000000, 68700.0000000000, 2496652110.625910, 1.907889, 1.3085937500
175707.000000, 70400.0000000000, 2495838068.181818, 1.861818, 1.3405380249
175557.000000, 70300.0000000000, 2497254623.044096, 1.864467, 1.3393936157
221674.000000, 88800.0000000000, 2496328828.828829, 1.476036, 1.6912384033
177882.000000, 71300.0000000000, 2494838709.677419, 1.838317, 1.3571319580
173184.000000, 69300.0000000000, 2499047619.047619, 1.891371, 1.3212890625
205873.000000, 82500.0000000000, 2495430303.030303, 1.588752, 1.5706863403
183450.000000, 73500.0000000000, 2495918367.346939, 1.783293, 1.3996124268
180119.000000, 72100.0000000000, 2498183079.056865, 1.817920, 1.3741989136
