Cycle Count,Elpased Time(s),GFLOPS
1414067056,0.56653,3.79059e+09
1359733121,0.544762,3.94206e+09
1373389620,0.550234,3.90286e+09
1527096290,0.611814,3.51002e+09
1392275423,0.5578,3.84992e+09
1416232179,0.567398,3.78479e+09
1447237560,0.57982,3.70371e+09
1397486196,0.559888,3.83556e+09
1397993907,0.560091,3.83417e+09
1397541985,0.55991,3.83541e+09
