Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
99856969,0.99998,100000,998.57
148678218,1,100000,1486.78
153003633,1,100000,1530.04
148108529,1,100000,1481.09
147680974,1,100000,1476.81
