Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
8219632642,nan,2000000,4109.82
6886496190,nan,2000000,3443.25
7050700977,nan,2000000,3525.35
7087011043,nan,2000000,3543.51
6813476733,nan,2000000,3406.74
