Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
14841639,nan,20000,742.082
15459699,nan,20000,772.985
15079077,nan,20000,753.954
15081157,nan,20000,754.058
16572604,nan,20000,828.63
