Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
60768464,nan,20000,3038.42
55613035,nan,20000,2780.65
62434123,nan,20000,3121.71
57547984,nan,20000,2877.4
61096195,nan,20000,3054.81
