Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
80969254,nan,20000,4048.46
82070203,nan,20000,4103.51
79888856,nan,20000,3994.44
80806786,nan,20000,4040.34
81477209,nan,20000,4073.86
