Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
851767321,nan,200000,4258.84
844131165,nan,200000,4220.66
940926997,nan,200000,4704.63
934021511,nan,200000,4670.11
855918957,nan,200000,4279.59
