Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
637762611,nan,200000,3188.81
642738125,nan,200000,3213.69
668929429,nan,200000,3344.65
640487234,nan,200000,3202.44
642027613,nan,200000,3210.14
