Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
3121094572,0.999975,1000000,3121.09
3096624936,0.999979,1000000,3096.62
3213968952,0.999981,1000000,3213.97
3237831775,0.99998,1000000,3237.83
3125109901,0.999979,1000000,3125.11
