Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
196889596,nan,200000,984.448
191615173,nan,200000,958.076
178232385,nan,200000,891.162
172857322,nan,200000,864.287
168176972,nan,200000,840.885
