Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
66857816,nan,20000,3342.89
69596499,nan,20000,3479.82
70178614,nan,20000,3508.93
71782657,nan,20000,3589.13
71871835,nan,20000,3593.59
