Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
40843375,0.999979,66666,612.657
48117892,1,66666,721.776
45574931,1,66666,683.631
48297450,0.999979,66666,724.469
46653359,0.999979,66666,699.807
