Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
145339018,1,100000,1453.39
153301082,1,100000,1533.01
157363492,1,100000,1573.63
158851751,1,100000,1588.52
150162074,1,100000,1501.62
