Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
1529735877,0.999975,1000000,1529.74
1544901911,0.999978,1000000,1544.9
1542744661,0.999979,1000000,1542.74
1500899118,0.999978,1000000,1500.9
1514177245,0.999978,1000000,1514.18
