Cycles Taken,Successful Reads,Number of Operations, Cycles Per Operation
111805362,nan,200000,559.027
113697409,nan,200000,568.487
102409141,nan,200000,512.046
102247740,nan,200000,511.239
99090621,nan,200000,495.453
