Cycle Count,Elpased Time(s),GFLOPS
9077932,0.0036369,2.30653e+09
8899396,0.0035654,2.35278e+09
9415884,0.0037724,2.22368e+09
9697139,0.0038851,2.15917e+09
9757597,0.0039092,2.14586e+09
9787365,0.0039212,2.1393e+09
9674673,0.003876,2.16424e+09
9552235,0.003827,2.19195e+09
8542054,0.0034223,2.45116e+09
12287087,0.0049227,1.70407e+09
