Cycle Count,Elpased Time(s),GFLOPS
646769,0.0002592,3.23635e+10
611231,0.0002449,3.42532e+10
592473,0.0002374,3.53353e+10
612164,0.0002453,3.41973e+10
658814,0.0002639,3.17871e+10
552924,0.0002216,3.78547e+10
687661,0.0002755,3.04487e+10
577360,0.0002313,3.62672e+10
605727,0.0002427,3.45637e+10
604571,0.0002422,3.4635e+10
