Cycles,Time,CPU Frequency,GFLOPS, CPE
115175254.000000, 46143700.0000000000, 2496012543.424129, 0.727173, 3.4324900508
117100582.000000, 46915100.0000000000, 2496010495.554736, 0.715216, 3.4898692966
115019454.000000, 46081299.9999999925, 2496011484.051014, 0.728157, 3.4278468490
114212887.000000, 45758199.9999999925, 2496009174.311927, 0.733299, 3.4038092792
112661034.000000, 45136400.0000000000, 2496012841.077268, 0.743401, 3.3575604558
116329412.000000, 46606100.0000000000, 2496012582.043982, 0.719958, 3.4668866396
114002620.000000, 45673900.0000000000, 2496012383.439995, 0.734652, 3.3975428343
114382027.000000, 45826000.0000000000, 2496007222.973858, 0.732214, 3.4088500440
114807457.000000, 45996400.0000000000, 2496009622.492195, 0.729501, 3.4215288460
114715827.000000, 45959700.0000000075, 2496009047.056443, 0.730084, 3.4187980592
115699513.000000, 46353700.0000000000, 2496014622.349457, 0.723878, 3.4481141865
116002999.000000, 46475400.0000000000, 2496008619.613817, 0.721983, 3.4571587741
115260647.000000, 46177900.0000000000, 2496013179.464636, 0.726634, 3.4350349605
115379865.000000, 46225800.0000000000, 2496005801.954752, 0.725881, 3.4385879338
116186619.000000, 46548900.0000000000, 2496012129.180282, 0.720843, 3.4626310766
113115171.000000, 45318400.0000000075, 2496009810.584663, 0.740415, 3.3710947931
116841646.000000, 46811400.0000000075, 2496008365.483621, 0.716800, 3.4821524024
112276563.000000, 44982400.0000000000, 2496010950.949705, 0.745946, 3.3461023271
117805204.000000, 47197400.0000000000, 2496010458.203206, 0.710938, 3.5108686686
115327148.000000, 46204600.0000000000, 2496010094.233042, 0.726214, 3.4370168447
