Cycles,Time,CPU Frequency,GFLOPS, CPE
2650426.000000, 1061900.0000000000, 2495928053.489029, 1.974905, 1.2638216019
2879455.000000, 1153700.0000000000, 2495843806.882205, 1.817762, 1.3730311394
2720709.000000, 1090100.0000000002, 2495834327.125951, 1.923816, 1.2973351479
2737845.000000, 1096900.0000000002, 2495984137.113684, 1.911890, 1.3055062294
2988540.000000, 1197300.0000000000, 2496066148.834878, 1.751568, 1.4250469208
2838089.000000, 1137000.0000000000, 2496120492.524187, 1.844461, 1.3533062935
2715790.000000, 1087999.9999999998, 2496130514.705883, 1.927529, 1.2949895859
2631277.000000, 1054199.9999999998, 2495994118.763043, 1.989330, 1.2546906471
2802970.000000, 1123000.0000000002, 2495966162.065895, 1.867455, 1.3365602493
2962590.000000, 1186900.0000000000, 2496073805.712360, 1.766915, 1.4126729965
2634351.000000, 1055500.0000000000, 2495832306.963524, 1.986880, 1.2561564445
3576767.000000, 1433000.0000000000, 2495999302.163294, 1.463470, 1.7055354118
3253486.000000, 1303500.0000000000, 2495961641.733794, 1.608862, 1.5513830185
3471343.000000, 1390799.9999999998, 2495932556.801841, 1.507875, 1.6552653313
3256268.000000, 1304400.0000000000, 2496372278.442195, 1.607752, 1.5527095795
2930432.000000, 1174100.0000000000, 2495896431.309088, 1.786178, 1.3973388672
2840189.000000, 1137900.0000000000, 2495991739.168644, 1.843002, 1.3543076515
2942105.000000, 1178800.0000000000, 2495847472.005429, 1.779057, 1.4029049873
3024448.000000, 1211700.0000000000, 2496036972.848065, 1.730752, 1.4421691895
3671957.000000, 1471100.0000000000, 2496062130.378628, 1.425567, 1.7509255409
