Zero-Copy Cycles,Normal-Copy Cyles,Zero-Copy CMP Result,Normal-Copy CMP Result 
27398,2970727,1,1
24562,2938613,1,1
15293,1648404,1,1
70397,1880359,1,1
18410,2334527,1,1
14958,1859463,1,1
46777,3492796,1,1
13660,1594781,1,1
21672,2954081,1,1
