Zero-Copy Cycles,Normal-Copy Cyles,Zero-Copy CMP Result,Normal-Copy CMP Result 
20431,2123284396,1,1
29551,2140205443,1,1
45496,1970344646,1,1
23353,2206687118,1,1
22473,2532335234,1,1
26445,2479714824,1,1
46111,2295798664,1,1
103891,1987779802,1,1
21777,2237384573,1,1
