Zero-Copy Cycles,Normal-Copy Cyles,Zero-Copy CMP Result,Normal-Copy CMP Result 
41939,232303156,1,1
24438,192489111,1,1
18962,208205049,1,1
34979,172806165,1,1
33605,261379460,1,1
35307,282707864,1,1
51830,179840282,1,1
28039,265904541,1,1
23300,225750371,1,1
